-2.84413e-03 4.86736e-04 -1.10481e-03 4.71900e-04
-1.65725e-03 3.41323e-03 -4.42314e-03 4.71800e-04
-2.79084e-03 4.08665e-03 -2.98682e-04 4.71700e-04
-1.05839e-03 3.65972e-03 4.36879e-03 4.71600e-04
3.53776e-03 6.89878e-03 1.19222e-03 4.71500e-04
-2.34076e-03 1.63178e-03 4.43322e-03 4.71400e-04
1.79667e-03 4.32215e-03 -6.67542e-04 4.71300e-04
1.98983e-03 5.50073e-03 4.55615e-04 4.71200e-04
2.91320e-03 1.62707e-03 4.27225e-03 4.71100e-04
1.18119e-03 6.04088e-03 -2.34203e-04 4.71000e-04
-3.50398e-04 1.85627e-03 3.78057e-03 4.70900e-04
-3.58271e-03 2.23339e-03 -8.18861e-04 4.70800e-04
1.34480e-03 5.61732e-03 2.63929e-03 4.70700e-04
2.24049e-03 3.71517e-03 1.22504e-03 4.70600e-04
1.83976e-03 7.14809e-03 3.13654e-03 4.70500e-04
-5.16169e-04 1.05402e-03 -2.64742e-03 4.70400e-04
-4.52129e-03 6.02771e-04 2.88481e-03 4.70300e-04
3.96874e-03 7.90603e-04 -3.63892e-03 4.70200e-04
-3.51938e-03 5.43787e-04 -3.90175e-03 4.70100e-04
1.87907e-04 4.70644e-03 -4.48090e-03 4.70000e-04
1.56805e-03 2.99433e-03 4.14810e-03 4.69900e-04
-8.34131e-04 6.28510e-03 -4.49114e-03 4.69800e-04
-2.40728e-03 3.30845e-03 -3.60597e-03 4.69700e-04
-3.94113e-03 4.45274e-03 3.13391e-03 4.69600e-04
1.75202e-03 5.36868e-03 -4.27197e-03 4.69500e-04
-1.45887e-03 7.23675e-03 -1.56559e-03 4.69400e-04
9.40660e-04 1.83960e-03 4.47716e-03 4.69300e-04
-4.32085e-03 2.74677e-03 2.06015e-03 4.69200e-04
-4.39782e-03 6.22023e-03 -8.61965e-04 4.69100e-04
-3.58551e-03 3.75137e-03 9.59776e-04 4.69000e-04
-3.75674e-03 5.36655e-03 1.53945e-03 4.68900e-04
-8.24236e-04 6.73319e-03 2.70777e-03 4.68800e-04
4.51044e-03 5.09184e-03 -2.19208e-03 4.68700e-04
2.10474e-03 2.18156e-03 -9.72184e-04 4.68600e-04
3.60238e-03 6.24020e-03 -6.96542e-04 4.68500e-04
-4.23089e-03 4.38541e-03 2.01820e-03 4.68400e-04
-3.50409e-03 6.36618e-03 -2.59194e-04 4.68300e-04
1.77868e-04 4.47916e-03 3.26433e-03 4.68200e-04
1.37845e-03 5.93441e-04 2.31978e-03 4.68100e-04
3.09892e-03 2.35389e-03 -3.23926e-04 4.68000e-04
3.62263e-03 6.41153e-03 -2.80966e-03 4.67900e-04
3.29064e-03 4.24748e-03 2.74771e-03 4.67800e-04
-4.50716e-03 1.91159e-03 -1.10762e-03 4.67700e-04
4.44556e-03 6.81509e-03 2.79073e-03 4.67600e-04
1.28881e-03 3.67455e-03 -2.46629e-03 4.67500e-04
4.50024e-03 1.20801e-03 4.37999e-03 4.67400e-04
-4.88705e-04 2.28364e-03 -2.93256e-03 4.67300e-04
2.89862e-03 1.85394e-03 -2.37846e-03 4.67200e-04
2.41839e-03 4.54330e-03 -1.85128e-03 4.67100e-04
-1.25619e-03 4.87393e-03 4.43883e-03 4.67000e-04
-4.51316e-03 1.88741e-03 2.70927e-03 4.66900e-04
-4.27596e-04 4.49384e-03 -3.10832e-03 4.66800e-04
-9.34640e-04 6.25055e-03 -1.58495e-03 4.66700e-04
2.65558e-03 4.79906e-03 1.52961e-03 4.66600e-04
4.14071e-03 4.03903e-03 3.11125e-03 4.66500e-04
4.00370e-03 5.71669e-03 4.16182e-03 4.66400e-04
3.64093e-05 1.48464e-03 -3.50044e-03 4.66300e-04
-2.91239e-03 5.75854e-03 -3.09932e-03 4.66200e-04
-4.33681e-03 7.23887e-03 4.08249e-03 4.66100e-04
4.45603e-03 2.42577e-03 -4.49615e-03 4.66000e-04
2.65938e-03 6.97705e-03 -3.49364e-03 4.65900e-04
3.13263e-03 6.30991e-03 3.70342e-03 4.65800e-04
-2.85834e-03 4.70358e-04 2.85483e-03 4.65700e-04
-9.16168e-04 7.22195e-03 4.36657e-03 4.65600e-04
3.99068e-04 2.75020e-03 4.33608e-03 4.65500e-04
-2.17903e-03 2.32708e-03 -1.69254e-03 4.65400e-04
-1.27695e-03 3.15571e-03 -1.96334e-03 4.65300e-04
-1.70315e-03 6.63969e-03 -3.93158e-03 4.65200e-04
1.01203e-03 7.26604e-03 4.28894e-03 4.65100e-04
2.59660e-03 5.19509e-04 -1.34637e-03 4.65000e-04
3.00119e-03 2.31112e-03 -3.66354e-03 4.64900e-04
